Residual Error Report

Residual Units: Ground units

Residual Summary for 3 Images
 Active GCPs:   10 X RMS:  2.255 Y RMS:  1.958 Z RMS:  0.697                                          
  Check points   0 X RMS:        Y RMS:        Z RMS:                                                 
  Active TPs:  169 X RMS:  0.329 Y RMS:  0.732 Z RMS:  0.254                                          
Inactive GCPs:   0 X RMS:        Y RMS:        Z RMS:                                                 
 Inactive TPs:   0 X RMS:        Y RMS:        Z RMS:                                                 

Listing: All points All images

Point ID        Res XY         Res X      Res Y      Res Z  Type     Image ID       Ground X         Ground Y         Ground Z           Comp X           Comp Y 
   AT0155      0.402     -0.120      0.384     -0.136    TP    1038-01       620526.476      4847101.615          183.076       620526.356      4847101.999
   AT0165      0.400     -0.016     -0.399      0.188    TP    1039-01       621098.788      4846957.002          183.527       621098.772      4846956.603
   AT0163      0.390      0.216     -0.325      0.211    TP    1037-01       620811.840      4846962.167          191.732       620812.056      4846961.842
   AT0045      0.388     -0.069      0.382     -0.136    TP    1038-01       620476.192      4847101.933          182.293       620476.123      4847102.315
   AT0112      0.388     -0.083      0.379      0.159    TP    1038-01       620529.443      4848247.194          193.987       620529.361      4848247.573
   AT0154      0.388      0.027      0.387     -0.150    TP    1038-01       620382.914      4847101.531          180.948       620382.940      4847101.918
   AT0023      0.388      0.065      0.383      0.062    TP    1037-01       620904.644      4847817.055          198.339       620904.709      4847817.437
   AT0062      0.379     -0.030      0.378      0.121    TP    1037-01       620777.916      4848153.937          197.545       620777.886      4848154.315
   AT0146      0.379     -0.377     -0.045     -0.038    TP    1038-01       620813.118      4847388.530          194.714       620812.742      4847388.485
   AT0116      0.375      0.087     -0.364     -0.113    TP    1037-01       620388.031      4848100.201          205.433       620388.119      4848099.836
   AT0062      0.375     -0.001     -0.375     -0.126    TP    1039-01       620777.916      4848153.937          197.545       620777.915      4848153.561
   AT0156      0.371      0.170     -0.329      0.107    TP    1039-01       620669.743      4847102.645          187.868       620669.913      4847102.315
   AT0119      0.370     -0.035      0.369      0.102    TP    1037-01       620815.311      4848102.004          198.676       620815.275      4848102.372
   AT0119      0.364     -0.006     -0.364     -0.109    TP    1039-01       620815.311      4848102.004          198.676       620815.305      4848101.640
   AT0005      0.364      0.153      0.330      0.195    TP    1038-01       620905.226      4848387.714          204.081       620905.379      4848388.044
   AT0135      0.362      0.104      0.347      0.030    TP    1037-01       620814.117      4847673.606          195.267       620814.221      4847673.952
   AT0046      0.361      0.148     -0.330      0.104    TP    1039-01       620619.016      4847102.986          186.556       620619.164      4847102.656
   AT0125      0.360      0.007      0.360      0.076    TP    1037-01       620815.083      4847959.468          196.077       620815.090      4847959.828
   AT0023      0.345     -0.153     -0.309     -0.062    TP    1038-01       620904.644      4847817.055          198.339       620904.491      4847816.745
   AT0010      0.344     -0.130      0.319      0.099    TP    1037-01       620761.027      4848242.502          208.708       620760.897      4848242.820
   AT0157      0.343      0.289     -0.184      0.066    TP    1039-01       620812.414      4847103.447          191.856       620812.703      4847103.263
   AT0135      0.338     -0.217     -0.259     -0.030    TP    1038-01       620814.117      4847673.606          195.267       620813.901      4847673.347
   AT0140      0.336     -0.280     -0.185     -0.018    TP    1038-01       620813.527      4847531.009          195.575       620813.247      4847530.824
   AT0130      0.335      0.046      0.331      0.047    TP    1037-01       620812.507      4847814.664          212.431       620812.553      4847814.995
    T0001      0.331      0.084     -0.320     -0.135    TP    1037-01       620445.023      4848282.821          194.484       620445.107      4848282.501
   AT0037      0.326     -0.322     -0.051     -0.019    TP    1038-01       620761.468      4847389.410          194.135       620761.146      4847389.360
   AT0009      0.321      0.007     -0.321     -0.129    TP    1039-01       620620.402      4848247.703          195.276       620620.409      4848247.382
   AT0072      0.319     -0.017      0.318      0.050    TP    1037-01       620909.280      4847913.892          197.961       620909.263      4847914.210
   AT0033      0.317     -0.226     -0.223     -0.000    TP    1038-01       620758.932      4847533.025          207.506       620758.706      4847532.802
   AT0072      0.317      0.005     -0.317     -0.054    TP    1039-01       620909.280      4847913.892          197.961       620909.285      4847913.575
    T0004      0.315     -0.143     -0.281     -0.036    TP    1038-01       620847.628      4847733.106          206.313       620847.485      4847732.825
   AT0130      0.312     -0.100     -0.296     -0.045    TP    1038-01       620812.507      4847814.664          212.431       620812.406      4847814.368
   AT0150      0.311     -0.262      0.167     -0.053    TP    1038-01       620670.100      4847245.753          190.154       620669.838      4847245.920
   AT0020      0.311      0.063     -0.304     -0.058    TP    1039-01       620905.459      4847960.175          197.640       620905.523      4847959.871
   AT0157      0.308      0.230     -0.204      0.138    TP    1037-01       620812.414      4847103.447          191.856       620812.644      4847103.243
   AT0067      0.304     -0.019      0.303      0.073    TP    1037-01       620778.006      4848034.355          195.577       620777.988      4848034.658
   AT0132      0.302      0.008      0.302     -0.000    TP    1039-01       620391.465      4847674.433          228.339       620391.473      4847674.735
   AT0054      0.302     -0.023      0.302      0.148    TP    1037-01       620646.138      4848393.915          198.369       620646.115      4848394.217
   AT0067      0.301      0.000     -0.301     -0.076    TP    1039-01       620778.006      4848034.355          195.577       620778.007      4848034.054
   AT0014      0.301     -0.028      0.299      0.084    TP    1037-01       620762.892      4848103.297          198.135       620762.864      4848103.596
   AT0042      0.300      0.299      0.006      0.013    TP    1039-01       620903.372      4847246.886          194.686       620903.672      4847246.892
   AT0054      0.299     -0.015     -0.299     -0.147    TP    1039-01       620646.138      4848393.915          198.369       620646.123      4848393.617
   AT0092      0.299      0.030     -0.297      0.085    TP    1039-01       620380.981      4847194.438          181.598       620381.010      4847194.141
   AT0092      0.294     -0.007      0.294     -0.093    TP    1037-01       620380.981      4847194.438          181.598       620380.974      4847194.732
   AT0132      0.291     -0.034     -0.289      0.002    TP    1038-01       620391.465      4847674.433          228.339       620391.431      4847674.144
   AT0112      0.287      0.031     -0.285     -0.120    TP    1039-01       620529.443      4848247.194          193.987       620529.474      4848246.909
   AT0042      0.285      0.248     -0.140      0.120    TP    1037-01       620903.372      4847246.886          194.686       620903.621      4847246.746
   AT0010      0.284      0.202      0.199      0.098    TP    1038-01       620761.027      4848242.502          208.708       620761.230      4848242.701
   AT0134      0.283     -0.172     -0.225     -0.007    TP    1038-01       620671.224      4847673.978          194.782       620671.053      4847673.753
   AT0098      0.280      0.026     -0.279      0.105    TP    1039-01       620513.077      4847074.452          182.499       620513.102      4847074.173
   AT0014      0.279     -0.010     -0.279     -0.083    TP    1039-01       620762.892      4848103.297          198.135       620762.882      4848103.018
   AT0098      0.277      0.003      0.277     -0.110    TP    1037-01       620513.077      4847074.452          182.499       620513.080      4847074.729
   AT0016      0.277      0.020      0.276      0.051    TP    1038-01       620192.633      4847959.496          200.650       620192.652      4847959.772
   AT0016      0.274     -0.015     -0.273     -0.054    TP    1037-01       620192.633      4847959.496          200.650       620192.618      4847959.223
   AT0038      0.273      0.246      0.117     -0.010    TP    1039-01       620903.506      4847389.398          196.151       620903.752      4847389.515
   AT0040      0.271     -0.238      0.129     -0.034    TP    1038-01       620619.021      4847246.220          188.862       620618.784      4847246.350
   AT0027      0.270     -0.125     -0.239     -0.014    TP    1038-01       620760.230      4847674.537          203.862       620760.105      4847674.297
    T0004      0.270      0.068      0.261      0.032    TP    1037-01       620847.628      4847733.106          206.313       620847.696      4847733.367
   AT0047      0.258     -0.028     -0.257      0.091    TP    1037-01       620759.990      4847106.722          197.649       620759.961      4847106.465
   AT0162      0.257      0.146     -0.212      0.124    TP    1037-01       620669.393      4846960.731          186.926       620669.539      4846960.519
   AT0047      0.257      0.015      0.256     -0.095    TP    1038-01       620759.990      4847106.722          197.649       620760.005      4847106.979
   AT0116      0.256     -0.173      0.188      0.087    TP    1038-01       620388.031      4848100.201          205.433       620387.858      4848100.389
   AT0009      0.254     -0.036      0.252      0.102    TP    1038-01       620620.402      4848247.703          195.276       620620.367      4848247.955
   AT0088      0.254      0.019     -0.254      0.054    TP    1039-01       620381.361      4847316.449          190.565       620381.380      4847316.195
   AT0088      0.252     -0.004      0.252     -0.059    TP    1037-01       620381.361      4847316.449          190.565       620381.357      4847316.700
   AT0105      0.251      0.090     -0.235     -0.144    TP    1039-01       620386.415      4848390.776          194.372       620386.505      4848390.541
   AT0058      0.247     -0.017      0.247      0.101    TP    1037-01       620646.278      4848274.816          195.547       620646.262      4848275.063
   AT0034      0.247      0.194      0.152      0.049    TP    1037-01       620904.144      4847531.716          196.014       620904.338      4847531.868
   AT0058      0.245     -0.010     -0.245     -0.101    TP    1039-01       620646.278      4848274.816          195.547       620646.269      4848274.571
   AT0049      0.239     -0.005      0.239     -0.112    TP    1038-01       620475.751      4846965.719          192.513       620475.746      4846965.957
   AT0049      0.237     -0.010     -0.237      0.112    TP    1037-01       620475.751      4846965.719          192.513       620475.741      4846965.482
   AT0078      0.236      0.001      0.236      0.002    TP    1039-01       620513.604      4847675.302          188.237       620513.605      4847675.537
   AT0139      0.236     -0.157     -0.176      0.011    TP    1038-01       620670.178      4847533.457          218.608       620670.021      4847533.281
   AT0078      0.235     -0.001     -0.235     -0.002    TP    1037-01       620513.604      4847675.302          188.237       620513.603      4847675.067
   AT0041      0.235      0.212     -0.101      0.019    TP    1039-01       620761.438      4847246.658          192.188       620761.650      4847246.558
   AT0151      0.234      0.234     -0.012      0.001    TP    1039-01       620812.784      4847245.960          193.039       620813.017      4847245.948
   AT0076      0.230      0.003     -0.230     -0.020    TP    1039-01       620908.854      4847794.111          197.806       620908.857      4847793.881
   AT0034      0.230      0.209      0.097      0.002    TP    1039-01       620904.144      4847531.716          196.014       620904.353      4847531.813
   AT0076      0.230     -0.007      0.230      0.019    TP    1037-01       620908.854      4847794.111          197.806       620908.847      4847794.341
   AT0019      0.229      0.015      0.229      0.050    TP    1037-01       620763.227      4847960.890          194.583       620763.242      4847961.119
    G0004      0.227     -0.061     -0.219     -0.037   GCP    1039-01       620664.331      4848132.704          197.111       620664.269      4848132.485
    G0004      0.227     -0.061     -0.219     -0.037   GCP    1037-01       620664.331      4848132.704          197.111       620664.269      4848132.485
   AT0120      0.227     -0.022      0.226      0.064    TP    1038-01       620957.885      4848100.706          201.602       620957.863      4848100.932
   AT0151      0.227      0.201     -0.105      0.082    TP    1037-01       620812.784      4847245.960          193.039       620812.985      4847245.855
    G0004      0.227     -0.061     -0.219     -0.037   GCP    1038-01       620664.331      4848132.704          197.111       620664.269      4848132.485
   AT0129      0.226     -0.101     -0.202     -0.025    TP    1038-01       620671.620      4847816.904          193.953       620671.518      4847816.702
   AT0120      0.224      0.015     -0.223     -0.066    TP    1039-01       620957.885      4848100.706          201.602       620957.900      4848100.483
   AT0038      0.219      0.219     -0.014      0.073    TP    1037-01       620903.506      4847389.398          196.151       620903.725      4847389.384
   AT0121      0.215     -0.024      0.214      0.057    TP    1038-01       621099.466      4848099.387          205.453       621099.441      4848099.601
   AT0121      0.212      0.018     -0.211     -0.060    TP    1039-01       621099.466      4848099.387          205.453       621099.484      4848099.176
   AT0032      0.210     -0.166     -0.129      0.013    TP    1038-01       620619.109      4847532.050          193.114       620618.943      4847531.920
   AT0117      0.209     -0.118      0.173      0.061    TP    1038-01       620529.675      4848101.533          200.629       620529.556      4848101.706
