Residual Error Report

Residual Units: Ground units

Residual Summary for 3 Images
 Active GCPs:   10 X RMS:  2.285 Y RMS:  2.101 Z RMS:  0.741                                          
  Check points   0 X RMS:        Y RMS:        Z RMS:                                                 
  Active TPs:  169 X RMS:  0.333 Y RMS:  0.759 Z RMS:  0.263                                          
Inactive GCPs:   0 X RMS:        Y RMS:        Z RMS:                                                 
 Inactive TPs:   0 X RMS:        Y RMS:        Z RMS:                                                 

Listing: All points All images

Point ID        Res XY         Res X      Res Y      Res Z  Type     Image ID       Ground X         Ground Y         Ground Z           Comp X           Comp Y 
   AT0107      0.554      0.046      0.552      0.282    TP    1038-01       620671.893      4848388.977          200.795       620671.940      4848389.529
   AT0165      0.550      0.048      0.547     -0.241    TP    1038-01       621099.072      4846960.017          183.854       621099.120      4846960.564
   AT0038      0.545     -0.533     -0.114     -0.081    TP    1038-01       620903.466      4847391.187          197.352       620902.933      4847391.073
   AT0165      0.544     -0.018     -0.544      0.255    TP    1039-01       621099.072      4846960.017          183.854       621099.054      4846959.473
   AT0007      0.543      0.051      0.540      0.210    TP    1038-01       620333.875      4848245.256          198.916       620333.926      4848245.796
   AT0034      0.541     -0.464     -0.279     -0.066    TP    1038-01       620903.904      4847533.164          197.602       620903.440      4847532.885
   AT0111      0.535      0.104     -0.525     -0.215    TP    1037-01       620385.685      4848246.560          194.811       620385.789      4848246.035
   AT0007      0.533     -0.026     -0.532     -0.215    TP    1037-01       620333.875      4848245.256          198.916       620333.849      4848244.723
   AT0062      0.533     -0.046      0.531      0.171    TP    1037-01       620777.032      4848154.306          199.624       620776.986      4848154.837
   AT0023      0.533      0.083      0.526      0.087    TP    1037-01       620903.992      4847817.936          200.677       620904.075      4847818.462
   AT0098      0.531      0.050     -0.529      0.198    TP    1039-01       620514.564      4847076.841          181.490       620514.613      4847076.312
   AT0119      0.531     -0.033      0.530      0.155    TP    1037-01       620814.424      4848102.438          200.947       620814.391      4848102.968
   AT0062      0.526      0.003     -0.526     -0.178    TP    1039-01       620777.032      4848154.306          199.624       620777.035      4848153.780
   AT0098      0.523      0.005      0.523     -0.205    TP    1037-01       620514.564      4847076.841          181.490       620514.568      4847077.364
   AT0106      0.522      0.039     -0.521     -0.268    TP    1039-01       620528.725      4848390.577          195.987       620528.764      4848390.056
   AT0119      0.520      0.020     -0.520     -0.158    TP    1039-01       620814.424      4848102.438          200.947       620814.444      4848101.918
   AT0116      0.505      0.099     -0.495     -0.155    TP    1037-01       620387.600      4848099.902          205.078       620387.698      4848099.406
   AT0092      0.502      0.051     -0.500      0.141    TP    1039-01       620382.721      4847196.347          180.680       620382.772      4847195.848
   AT0151      0.499     -0.479      0.140     -0.100    TP    1038-01       620813.177      4847247.984          193.294       620812.698      4847248.124
   AT0008      0.496      0.490      0.077      0.050    TP    1037-01       620476.134      4848249.514          189.583       620476.624      4848249.591
   AT0092      0.493     -0.012      0.492     -0.153    TP    1037-01       620382.721      4847196.347          180.680       620382.708      4847196.840
   AT0108      0.492      0.107      0.480      0.258    TP    1038-01       620814.716      4848387.905          204.401       620814.823      4848388.386
   AT0157      0.490      0.312     -0.378      0.140    TP    1039-01       620813.019      4847105.926          191.798       620813.331      4847105.548
   AT0010      0.490     -0.130      0.473      0.163    TP    1037-01       620759.956      4848242.823          210.729       620759.826      4848243.296
   AT0125      0.489      0.018      0.489      0.108    TP    1037-01       620814.417      4847960.044          198.020       620814.435      4847960.533
   AT0046      0.488     -0.218      0.436     -0.161    TP    1038-01       620620.134      4847105.297          185.758       620619.916      4847105.733
   AT0111      0.483     -0.201      0.439      0.213    TP    1038-01       620385.685      4848246.560          194.811       620385.483      4848246.999
   AT0072      0.474     -0.028      0.473      0.075    TP    1037-01       620908.506      4847914.643          200.623       620908.478      4847915.116
   AT0072      0.471      0.011     -0.471     -0.082    TP    1039-01       620908.506      4847914.643          200.623       620908.517      4847914.172
   AT0020      0.467      0.094     -0.457     -0.089    TP    1039-01       620904.605      4847960.840          200.393       620904.699      4847960.383
   AT0041      0.464     -0.422      0.193     -0.092    TP    1038-01       620761.950      4847248.600          192.166       620761.528      4847248.793
   AT0154      0.460      0.125      0.443     -0.184    TP    1038-01       620384.906      4847103.905          179.965       620385.032      4847104.348
   AT0135      0.452      0.121      0.436      0.039    TP    1037-01       620813.875      4847674.604          196.518       620813.996      4847675.040
   AT0155      0.450     -0.064      0.445     -0.161    TP    1038-01       620527.896      4847103.929          182.126       620527.831      4847104.374
   AT0045      0.442      0.002      0.442     -0.164    TP    1038-01       620477.790      4847104.254          181.298       620477.793      4847104.695
   AT0054      0.437     -0.038      0.436      0.216    TP    1037-01       620644.997      4848394.143          199.882       620644.959      4848394.579
   AT0054      0.433     -0.017     -0.432     -0.215    TP    1039-01       620644.997      4848394.143          199.882       620644.979      4848393.711
   AT0130      0.431      0.061      0.427      0.064    TP    1037-01       620811.985      4847815.374          213.800       620812.046      4847815.801
   AT0014      0.426     -0.022      0.425      0.126    TP    1037-01       620762.082      4848103.685          199.962       620762.060      4848104.110
   AT0112      0.424     -0.121      0.406      0.174    TP    1038-01       620528.636      4848247.226          194.553       620528.515      4848247.632
   AT0067      0.420     -0.029      0.419      0.103    TP    1037-01       620777.311      4848034.821          197.399       620777.282      4848035.240
   AT0146      0.417     -0.414     -0.053     -0.044    TP    1038-01       620813.297      4847390.152          195.285       620812.883      4847390.100
   AT0067      0.416      0.003     -0.416     -0.107    TP    1039-01       620777.311      4848034.821          197.399       620777.314      4848034.405
   AT0132      0.412     -0.012      0.412      0.008    TP    1039-01       620391.795      4847674.555          227.277       620391.783      4847674.967
    T0001      0.410      0.105     -0.396     -0.169    TP    1037-01       620444.213      4848282.683          194.682       620444.317      4848282.287
   AT0154      0.410     -0.099      0.398     -0.146    TP    1037-01       620384.906      4847103.905          179.965       620384.808      4847104.303
   AT0023      0.403     -0.202     -0.349     -0.079    TP    1038-01       620903.992      4847817.936          200.677       620903.791      4847817.587
   AT0009      0.402      0.026     -0.401     -0.165    TP    1039-01       620619.518      4848247.887          196.376       620619.544      4848247.486
   AT0005      0.402      0.107      0.388      0.218    TP    1038-01       620903.735      4848387.956          207.977       620903.842      4848388.343
   AT0014      0.401      0.012     -0.401     -0.122    TP    1039-01       620762.082      4848103.685          199.962       620762.094      4848103.284
   AT0135      0.392     -0.255     -0.298     -0.038    TP    1038-01       620813.875      4847674.604          196.518       620813.621      4847674.306
   AT0140      0.383     -0.318     -0.214     -0.023    TP    1038-01       620813.494      4847532.291          196.471       620813.176      4847532.077
   AT0016      0.381      0.026      0.380      0.073    TP    1038-01       620193.089      4847958.648          199.859       620193.115      4847959.028
   AT0121      0.381     -0.047      0.378      0.102    TP    1038-01       621097.885      4848099.842          210.194       621097.838      4848100.219
   AT0093      0.377      0.030     -0.375      0.112    TP    1039-01       620514.397      4847196.726          183.409       620514.427      4847196.350
   AT0016      0.377     -0.019     -0.376     -0.076    TP    1037-01       620193.089      4847958.648          199.859       620193.070      4847958.272
   AT0121      0.376      0.036     -0.374     -0.107    TP    1039-01       621097.885      4848099.842          210.194       621097.921      4848099.468
    T0004      0.375     -0.187     -0.325     -0.047    TP    1038-01       620847.187      4847734.014          207.837       620847.000      4847733.689
    T0004      0.374      0.087      0.363      0.046    TP    1037-01       620847.187      4847734.014          207.837       620847.274      4847734.377
   AT0088      0.374      0.029     -0.373      0.078    TP    1039-01       620382.767      4847317.803          189.639       620382.796      4847317.429
   AT0093      0.372      0.001      0.372     -0.116    TP    1037-01       620514.397      4847196.726          183.409       620514.399      4847197.098
   AT0088      0.369     -0.008      0.369     -0.085    TP    1037-01       620382.767      4847317.803          189.639       620382.759      4847318.172
   AT0149      0.367      0.054     -0.363      0.091    TP    1039-01       620528.109      4847247.128          185.618       620528.163      4847246.764
   AT0130      0.366     -0.139     -0.339     -0.057    TP    1038-01       620811.985      4847815.374          213.800       620811.846      4847815.035
   AT0033      0.359     -0.253     -0.255     -0.003    TP    1038-01       620758.945      4847534.143          207.896       620758.692      4847533.888
   AT0076      0.352     -0.012      0.351      0.030    TP    1037-01       620908.252      4847795.058          200.136       620908.240      4847795.410
   AT0037      0.351     -0.347     -0.058     -0.022    TP    1038-01       620761.757      4847390.942          194.394       620761.411      4847390.884
   AT0042      0.350      0.331     -0.115      0.050    TP    1039-01       620903.536      4847249.074          195.531       620903.867      4847248.958
   AT0076      0.350      0.006     -0.350     -0.032    TP    1039-01       620908.252      4847795.058          200.136       620908.258      4847794.708
   AT0120      0.349     -0.037      0.347      0.099    TP    1038-01       620956.753      4848101.213          204.772       620956.716      4848101.560
   AT0120      0.344      0.026     -0.343     -0.102    TP    1039-01       620956.753      4848101.213          204.772       620956.779      4848100.870
   AT0058      0.343     -0.026      0.342      0.142    TP    1037-01       620645.348      4848275.020          196.864       620645.323      4848275.362
   AT0058      0.340     -0.010     -0.340     -0.142    TP    1039-01       620645.348      4848275.020          196.864       620645.338      4848274.680
   AT0116      0.339      0.117      0.318      0.062    TP    1039-01       620387.600      4848099.902          205.078       620387.716      4848100.220
   AT0034      0.338      0.223      0.254      0.052    TP    1037-01       620903.904      4847533.164          197.602       620904.127      4847533.418
   AT0127      0.337      0.044      0.334      0.023    TP    1039-01       620387.814      4847816.230          203.996       620387.859      4847816.564
   AT0132      0.337      0.001     -0.337     -0.006    TP    1038-01       620391.795      4847674.555          227.277       620391.796      4847674.219
   AT0019      0.330      0.026      0.329      0.075    TP    1037-01       620762.650      4847961.403          196.123       620762.676      4847961.731
   AT0041      0.330      0.227     -0.239      0.057    TP    1039-01       620761.950      4847248.600          192.166       620762.178      4847248.361
   AT0150      0.324      0.145     -0.290      0.066    TP    1039-01       620670.832      4847247.584          189.729       620670.977      4847247.294
   AT0134      0.322     -0.186     -0.262     -0.010    TP    1038-01       620671.235      4847674.732          195.104       620671.049      4847674.470
   AT0150      0.321     -0.257      0.192     -0.061    TP    1038-01       620670.832      4847247.584          189.729       620670.575      4847247.777
   AT0027      0.320     -0.155     -0.281     -0.019    TP    1038-01       620760.045      4847675.406          204.620       620759.891      4847675.125
   AT0102      0.307     -0.039      0.304     -0.132    TP    1039-01       620382.841      4846955.549          171.045       620382.802      4846955.853
   AT0125      0.305      0.049     -0.301     -0.062    TP    1039-01       620814.417      4847960.044          198.020       620814.467      4847959.743
   AT0112      0.301      0.051     -0.297     -0.129    TP    1039-01       620528.636      4848247.226          194.553       620528.687      4848246.929
   AT0040      0.297      0.125     -0.269      0.058    TP    1039-01       620619.882      4847248.002          188.266       620620.007      4847247.733
   AT0102      0.295      0.005     -0.295      0.139    TP    1037-01       620382.841      4846955.549          171.045       620382.846      4846955.254
   AT0163      0.293      0.246     -0.159      0.141    TP    1037-01       620812.651      4846965.143          191.352       620812.897      4846964.984
   AT0151      0.293      0.254     -0.146      0.039    TP    1039-01       620813.177      4847247.984          193.294       620813.431      4847247.838
   AT0158      0.292      0.008      0.292     -0.107    TP    1038-01       620955.961      4847103.586          187.074       620955.969      4847103.877
   AT0158      0.291      0.006     -0.291      0.111    TP    1039-01       620955.961      4847103.586          187.074       620955.967      4847103.294
   AT0045      0.290     -0.022      0.289     -0.109    TP    1037-01       620477.790      4847104.254          181.298       620477.769      4847104.543
